Kabupaten_Kota,Tahun,IPM,TPT,Jumlah_Penduduk,PDRB,TPAK
Kabupaten Bandung Barat,2021,69.03,11.65,1808420,3170179,60.75
Kabupaten Bekasi,2021,74.84,10.09,3148740,25177852,65.87
Kabupaten Bogor,2021,71.83,12.22,5484150,15958955,62.55
Kabupaten Ciamis,2021,72.0,5.06,1234830,2277493,69.83
Kabupaten Cianjur,2021,67.16,9.32,2500640,3289753,67.98
Kabupaten Cirebon,2021,69.99,10.38,2301330,3412752,64.49
Kabupaten Garut,2021,67.53,8.68,2613530,3998119,62.76
Kabupaten Indramayu,2021,68.6,8.3,1851730,5954487,69.86
Kabupaten Karawang,2021,71.84,11.83,2465570,16694149,64.19
Kabupaten Kuningan,2021,69.99,11.68,1175950,1748356,63.82
Kabupaten Majalengka,2021,69.42,5.71,1315010,2278875,67.63
Kabupaten Pangandaran,2021,69.46,3.25,425590,802278,74.75
Kabupaten Purwakarta,2021,72.31,10.7,1008930,4684015,61.13
Kabupaten Subang,2021,69.84,9.77,1620700,2896089,67.78
Kabupaten Sukabumi,2021,68.33,9.51,2747450,4793563,64.93
Kabupaten Sumedang,2021,72.64,9.18,1159260,2441466,68.51
Kabupaten Tasikmalaya,2021,67.43,6.16,1876890,2517948,68.18
Kota Bandung,2021,82.23,11.46,2461410,20041403,65.31
Kota Banjar,2021,73.3,6.09,202720,336525,64.07
Kota Bekasi,2021,81.99,10.88,2568020,6979694,64.76
Kota Bogor,2021,77.11,11.79,1050920,3337248,61.77
Kota Cimahi,2021,78.31,13.07,574450,2327578,61.79
Kota Cirebon,2021,76.26,10.53,335810,1715575,62.87
Kota Depok,2021,81.54,9.76,2081130,4994724,62.62
Kota Sukabumi,2021,75.44,10.78,350150,885105,56.86
Kota Tasikmalaya,2021,74.31,7.66,723100,1598075,65.75
Kabupaten Bandung,2022,73.46,6.98,3687250,8843796,63.64
Kabupaten Bandung Barat,2022,69.82,9.63,1834230,3339329,64.37
Kabupaten Bekasi,2022,75.6,10.31,3193840,26512049,65.41
Kabupaten Bogor,2022,72.45,10.64,5556310,16796618,63.75
Kabupaten Ciamis,2022,72.52,3.75,1243320,2391889,68.47
Kabupaten Cianjur,2022,67.55,8.41,2529810,345564,69.98
Kabupaten Cirebon,2022,70.92,8.11,2331360,3552378,65.53
Kabupaten Garut,2022,68.51,7.6,2648950,4201296,68.84
Kabupaten Indramayu,2022,69.52,6.49,1873400,6125961,69.08
Kabupaten Karawang,2022,72.64,9.87,2496190,17747089,65.51
Kabupaten Kuningan,2022,70.44,9.81,1189010,1845034,61.8
Kabupaten Majalengka,2022,70.18,4.16,1328010,242981,66.21
Kabupaten Pangandaran,2022,70.21,1.56,428600,84264,79.92
Kabupaten Purwakarta,2022,72.89,8.75,1023180,4929298,65.21
Kabupaten Subang,2022,70.54,7.77,1635560,3020258,68.87
Kabupaten Sukabumi,2022,68.87,7.77,2775310,5038872,69.11
Kabupaten Sumedang,2022,73.53,7.72,1168840,2559502,64.63
Kabupaten Tasikmalaya,2022,68.45,4.17,1892220,2636166,67.83
Kota Bandung,2022,82.75,9.55,2484150,21125067,69.42
Kota Banjar,2022,73.93,5.53,205140,351657,63.76
Kota Bekasi,2022,82.52,8.81,2598070,7326065,65.33
Kota Bogor,2022,77.68,10.78,1060940,3525887,64.21
Kota Cimahi,2022,79.01,10.77,582650,2465273,67.22
Kota Cirebon,2022,76.89,8.42,338940,1803025,65.42
Kota Depok,2022,82.02,7.82,2113620,5256498,63.35
Kota Sukabumi,2022,76.24,8.83,355420,932416,62.48
Kota Tasikmalaya,2022,74.84,6.62,732480,1678104,65.99
Kabupaten Bandung,2023,74.03,6.52,3721110,9283017,67.1
Kabupaten Bandung Barat,2023,70.33,8.11,1859640,3506219,67.01
Kabupaten Bekasi,2023,76.13,8.87,3237420,2792249,65.0
Kabupaten Bogor,2023,73.02,8.47,5627020,17668358,64.22
Kabupaten Ciamis,2023,73.12,3.52,1251540,2511171,66.26
Kabupaten Cianjur,2023,68.18,7.71,2558140,3633955,72.31
Kabupaten Cirebon,2023,71.81,7.65,2360440,3724657,66.16
Kabupaten Garut,2023,69.22,7.33,2683670,4408722,70.1
Kabupaten Indramayu,2023,70.19,6.46,1894330,6723769,63.88
Kabupaten Karawang,2023,73.25,8.95,2526000,18705165,63.4
Kabupaten Kuningan,2023,70.99,9.49,1201760,1941873,61.95
Kabupaten Majalengka,2023,70.76,4.12,1340620,2579324,68.5
Kabupaten Pangandaran,2023,70.57,1.52,431460,886986,80.15
Kabupaten Purwakarta,2023,73.43,7.72,1037070,517405,66.37
Kabupaten Subang,2023,71.42,7.65,1649820,3160498,70.03
Kabupaten Sukabumi,2023,69.71,7.32,2802400,5299398,67.75
Kabupaten Sumedang,2023,74.02,6.94,1178240,2687686,67.76
Kabupaten Tasikmalaya,2023,69.38,3.89,1907050,2759916,68.37
Kota Bandung,2023,83.29,8.83,2506600,22196913,66.97
Kota Banjar,2023,74.45,5.43,207510,368236,67.44
Kota Bekasi,2023,83.06,7.9,2627210,7724179,64.65
Kota Bogor,2023,78.36,9.39,1070720,3705536,64.81
Kota Cimahi,2023,79.69,10.52,590780,2593198,68.43
Kota Cirebon,2023,77.45,7.66,341980,189344,68.71
Kota Depok,2023,82.53,6.97,2145400,5522182,62.76
Kota Sukabumi,2023,77.16,8.53,360640,980188,62.57
Kota Tasikmalaya,2023,75.47,6.55,741760,1778193,65.44
Kabupaten Bandung,2024,74.59,6.36,3753120,9750991,67.22
Kabupaten Bandung Barat,2024,70.77,6.7,1884190,3679368,68.3
Kabupaten Bekasi,2024,76.8,8.82,3273870,29366479,65.11
Kabupaten Bogor,2024,73.63,7.34,5682300,18588234,66.3
Kabupaten Ciamis,2024,73.64,3.37,1259230,2636094,68.14
Kabupaten Cianjur,2024,68.89,5.99,2584990,3820818,72.63
Kabupaten Cirebon,2024,72.3,6.74,2387960,3941827,69.27
Kabupaten Garut,2024,69.91,6.96,2716950,4627092,71.34
Kabupaten Indramayu,2024,70.72,6.25,1914040,6870196,66.43
Kabupaten Karawang,2024,73.82,8.04,2554380,1949031,63.67
Kabupaten Kuningan,2024,71.56,7.78,1213930,2050727,65.84
Kabupaten Majalengka,2024,71.37,4.01,1352540,2743893,69.64
Kabupaten Pangandaran,2024,71.03,1.58,434100,932431,80.12
Kabupaten Purwakarta,2024,73.99,7.34,1050340,5414229,66.62
Kabupaten Subang,2024,72.05,6.73,1663160,3312646,71.71
Kabupaten Sukabumi,2024,70.18,7.11,2828020,5572392,69.75
Kabupaten Sumedang,2024,74.57,6.16,1187130,2796576,69.24
Kabupaten Tasikmalaya,2024,69.98,3.74,1920920,2887968,68.76
Kota Bandung,2024,83.75,7.4,2528160,23305379,67.93
Kota Banjar,2024,75.01,5.44,209790,388379,67.22
Kota Bekasi,2024,83.55,7.82,2644060,8125161,65.58
Kota Bogor,2024,79.03,8.13,1078350,3896467,67.35
Kota Cimahi,2024,80.3,8.97,598700,2729693,66.52
Kota Cirebon,2024,78.09,6.29,344850,1988406,68.55
Kota Depok,2024,83.05,6.27,2163640,5824186,62.89
Kota Sukabumi,2024,77.69,8.34,365740,1030316,62.58
Kota Tasikmalaya,2024,76.03,6.49,750730,1870987,68.92
Kabupaten Bandung,2025,75.58,6.68,3783210,103673,67.0
Kabupaten Bandung Barat,2025,71.65,6.6,1907820,3873685,70.57
Kabupaten Bekasi,2025,77.8,8.78,3303020,30856827,64.33
Kabupaten Bogor,2025,74.53,7.69,5721620,19561355,64.67
Kabupaten Ciamis,2025,74.33,4.08,1266330,2777711,66.15
Kabupaten Cianjur,2025,69.84,6.17,2610320,404049,68.88
Kabupaten Cirebon,2025,73.27,6.42,2413810,4187588,69.28
Kabupaten Garut,2025,70.67,6.54,2748700,4902551,68.29
Kabupaten Indramayu,2025,71.58,6.47,1932520,7082173,65.07
Kabupaten Karawang,2025,74.59,7.99,2581250,20477402,65.13
Kabupaten Kuningan,2025,72.31,7.59,1225490,2193773,69.34
Kabupaten Majalengka,2025,72.37,3.62,1363760,2932124,72.55
Kabupaten Pangandaran,2025,71.66,1.91,436490,985057,79.13
Kabupaten Purwakarta,2025,74.97,7.54,1062970,5698915,66.25
Kabupaten Subang,2025,73.0,6.8,1675520,3478568,68.91
Kabupaten Sukabumi,2025,71.13,7.23,2852110,5889357,69.74
Kabupaten Sumedang,2025,75.5,6.08,1195530,2949767,65.37
Kabupaten Tasikmalaya,2025,70.76,3.69,1933810,3041202,69.23
Kota Bandung,2025,84.66,7.22,2548780,24539201,68.13
Kota Banjar,2025,75.54,5.26,211960,408317,69.86
Kota Bekasi,2025,84.43,7.33,2648270,856274,64.1
Kota Bogor,2025,79.75,7.95,1083780,4108707,65.18
Kota Cimahi,2025,80.85,8.75,606380,2875131,67.06
Kota Cirebon,2025,78.99,6.41,347540,2094666,69.02
Kota Depok,2025,84.04,6.52,2167960,6144452,62.0
Kota Sukabumi,2025,78.23,8.19,370680,1085105,65.73
Kota Tasikmalaya,2025,76.59,6.43,759370,1971821,66.31
